InvoiceNo,InvoiceDate,FwdInvoiceRefNo,StockReceiptDate,UOM,QtyCases,QtyUnits,Rate,Amount,TaxableAmount
609,02-10-2022,,02-10-2022,24,50,0,683.48,34174.11,34174.11
610,02-10-2022,,02-10-2022,24,50,0,683.48,34174.11,34174.11
611,02-10-2022,,02-10-2022,24,50,0,683.48,34174.11,34174.11
612,02-10-2022,,02-10-2022,9,30,0,238.57,7157.14,7157.14
613,02-10-2022,,02-10-2022,9,20,0,498.93,9978.57,9978.57
614,02-10-2022,,02-10-2022,9,40,0,502.86,20114.29,20114.29
615,02-10-2022,,02-10-2022,24,25,0,136.43,3410.71,3410.71
616,02-10-2022,,02-10-2022,9,20,0,498.93,9978.57,9978.57
617,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
618,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
619,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
620,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
621,02-10-2022,,02-10-2022,30,200,0,343.75,68750,68750
622,02-10-2022,,02-10-2022,30,200,0,316.96,63392.86,63392.86
623,02-10-2022,,02-10-2022,30,120,0,325.89,39107.14,39107.14
624,02-10-2022,,02-10-2022,30,100,0,325.89,32589.29,32589.29
625,02-10-2022,,02-10-2022,30,95,0,325.89,30959.82,30959.82
626,02-10-2022,,02-10-2022,30,5,0,325.89,1629.46,1629.46
627,02-10-2022,,02-10-2022,30,150,0,325.89,48883.93,48883.93
628,02-10-2022,,02-10-2022,30,100,0,325.89,32589.29,32589.29
629,02-10-2022,,02-10-2022,30,100,0,325.89,32589.29,32589.29
630,02-10-2022,,02-10-2022,24,150,0,157.86,23678.57,23678.57
631,02-10-2022,,02-10-2022,24,50,0,165,8250,8250
632,02-10-2022,,02-10-2022,24,50,0,165,8250,8250
633,02-10-2022,,02-10-2022,24,100,0,165,16500,16500
634,02-10-2022,,02-10-2022,24,50,0,535.71,26785.71,26785.71
635,02-10-2022,,02-10-2022,24,40,0,517.86,20714.29,20714.29
636,02-10-2022,,02-10-2022,24,30,0,517.86,15535.71,15535.71
637,02-10-2022,,02-10-2022,24,20,0,517.86,10357.14,10357.14
638,02-10-2022,,02-10-2022,24,40,0,517.86,20714.29,20714.29
639,02-10-2022,,02-10-2022,30,165,0,351.43,57985.71,57985.71
640,02-10-2022,,02-10-2022,24,150,0,147.46,22118.64,22118.64
641,02-10-2022,,02-10-2022,24,170,0,164.41,27949.15,27949.15
642,02-10-2022,,02-10-2022,24,200,0,273.57,54714.29,54714.29
643,02-10-2022,,02-10-2022,24,150,0,147.46,22118.64,22118.64
644,02-10-2022,,02-10-2022,24,100,0,273.57,27357.14,27357.14
645,02-10-2022,,02-10-2022,24,50,0,276.43,13821.43,13821.43
646,02-10-2022,,02-10-2022,24,300,0,147.46,44237.29,44237.29
647,02-10-2022,,02-10-2022,24,100,0,273.57,27357.14,27357.14
648,02-10-2022,,02-10-2022,24,100,0,273.57,27357.14,27357.14
649,02-10-2022,,02-10-2022,24,50,0,535.71,26785.71,26785.71
650,02-10-2022,,02-10-2022,24,20,0,517.86,10357.14,10357.14
651,02-10-2022,,02-10-2022,24,30,0,517.86,15535.71,15535.71
652,02-10-2022,,02-10-2022,24,30,0,517.86,15535.71,15535.71
653,02-10-2022,,02-10-2022,24,40,0,517.86,20714.29,20714.29
654,02-10-2022,,02-10-2022,24,20,0,517.86,10357.14,10357.14
655,02-10-2022,,02-10-2022,30,900,0,365.71,329142.86,329142.86
656,02-10-2022,,02-10-2022,30,1070,0,351.43,376028.57,376028.57
657,02-10-2022,,02-10-2022,30,800,0,351.43,281142.86,281142.86
658,02-10-2022,,02-10-2022,15,10,0,461.43,4614.29,4614.29
659,02-10-2022,,02-10-2022,30,10,0,330.36,3303.57,3303.57
660,02-10-2022,,02-10-2022,30,5,0,330.36,1651.79,1651.79
661,02-10-2022,,02-10-2022,15,20,0,447.14,8942.86,8942.86
662,02-10-2022,,02-10-2022,24,150,0,129.29,19392.86,19392.86
663,02-10-2022,,02-10-2022,30,486,0,351.43,170794.29,170794.29
664,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
665,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
666,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
667,02-10-2022,,02-10-2022,30,584,0,351.43,205234.29,205234.29
668,02-10-2022,,02-10-2022,30,200,0,351.43,70285.71,70285.71
669,02-10-2022,,02-10-2022,24,110,0,136.43,15007.14,15007.14
670,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
671,02-10-2022,,02-10-2022,12,1,0,946.43,946.43,946.43
672,02-10-2022,,02-10-2022,15,20,0,447.14,8942.86,8942.86
673,02-10-2022,,02-10-2022,12,5,0,946.43,4732.14,4732.14
674,02-10-2022,,02-10-2022,24,50,0,546.79,27339.29,27339.29
675,02-10-2022,,02-10-2022,24,40,0,546.79,21871.43,21871.43
676,02-10-2022,,02-10-2022,24,50,0,546.79,27339.29,27339.29
677,02-10-2022,,02-10-2022,30,75,0,0.71,53.57,53.57
678,02-10-2022,,02-10-2022,30,50,0,207.14,10357.14,10357.14
679,02-10-2022,,02-10-2022,30,118,0,355,41890,41890
680,02-10-2022,,02-10-2022,40,110,0,291.07,32017.86,32017.86
681,02-10-2022,,02-10-2022,40,100,0,273.21,27321.43,27321.43
682,02-10-2022,,02-10-2022,40,100,0,264.29,26428.57,26428.57
683,02-10-2022,,02-10-2022,40,100,0,273.21,27321.43,27321.43
684,02-10-2022,,02-10-2022,40,100,0,273.21,27321.43,27321.43
685,02-10-2022,,02-10-2022,40,100,0,273.21,27321.43,27321.43
686,02-10-2022,,02-10-2022,30,10,0,370.54,3705.36,3705.36
687,02-10-2022,,02-10-2022,12,710,0,130.51,92661.02,92661.02
688,02-10-2022,,02-10-2022,12,710,0,113.56,80627.12,80627.12
689,02-10-2022,,02-10-2022,12,492,6,113.56,55928.75,55928.75
690,02-10-2022,,02-10-2022,12,710,0,113.56,80627.12,80627.12
691,02-10-2022,,02-10-2022,12,700,0,113.56,79491.53,79491.53
692,02-10-2022,,02-10-2022,24,40,0,546.79,21871.43,21871.43
693,02-10-2022,,02-10-2022,24,50,0,546.79,27339.29,27339.29
694,02-10-2022,,02-10-2022,12,157,6,113.56,17884.8,17884.8
695,02-10-2022,,02-10-2022,12,710,0,113.56,80627.12,80627.12
696,02-10-2022,,02-10-2022,24,50,0,550.71,27535.71,27535.71
697,02-10-2022,,02-10-2022,12,540,0,113.56,61322.03,61322.03
698,02-10-2022,,02-10-2022,24,2,0,289.29,578.57,578.57
699,02-10-2022,,02-10-2022,30,100,0,428.57,42857.14,42857.14
700,02-10-2022,,02-10-2022,30,100,0,446.43,44642.86,44642.86
